"player_name","overall_rating","gk_rating","No_of_Presences","No_of_leagues"
"Gustavo Cabral",77,47,127,1
"Jesus Datolo",77,56,13,2
"Pablo Barrientos",72,52,72,1
"Dario Cvitanich",74,60,71,2
"Emiliano Daniel Armenteros",70,40,82,1
"Fernando Gago",76,49,65,2
"Pablo Martin Ledesma",65,47,47,1
"Ezequiel Scarione",73,58,67,1
"Matias Silvestre",73,19,148,1
"Jonathan Bottinelli",71,44,5,1
"Claudio Morel",68,54,14,1
"Mauro Boselli",74,48,12,2
"Nicolas Federico Spolli",74,49,126,1
"David Abraham",75,45,155,3
"Juan Eduardo Eluchans",69,58,15,1
"Carlos Matheu",67,46,13,1
"Ezequiel Lavezzi",78,53,170,2
"Santiago Gentiletti",77,55,37,2
"Dante Adrian Senger",61,52,33,1
"Guillaume Ducatel",58,57,15,1
"Christopher Samba",77,49,118,1
"Rafael Miranda",73,46,62,1
"Diego Costa",85,55,162,2
"Danilo",78,41,169,1
"Evandro Goebel",75,50,52,1
"Dinei",72,53,1,1
"Edivaldo Rojas",65,53,30,1
"Rafael Marques",72,51,27,1
"Thiago Xavier",64,55,28,1
"Edson Sitta",68,49,11,1
"Dyego Rocha Coelho",69,46,2,1
"Miranda",85,53,138,2
"Artur",73,365,94,2
"Jonathan",73,40,49,1
"Fabionn Lopes Patrick",64,46,8,1
"Rodrigo Arroz",64,45,1,1
"Bruno China",67,53,67,2
"Diego",70,351,32,1
"Galatto",69,348,5,2
"Claudio Pitbull",66,43,21,1
"Marcelo Boeck",71,348,13,1
"Renan",74,368,29,1
"Edinho",71,41,13,1
"Joao Guilherme",68,52,39,1
"Pedro Silva",70,57,18,1
"Halisson",69,57,40,1
"Josue",73,64,125,1
"Renan Silva",67,48,3,1
"Cassio",74,365,130,1
"Claudemir",69,53,62,1
"Silva",65,45,11,1
"Neymar",90,59,79,1
"Branko Jelic",58,61,6,1
"Zhi Zheng",70,59,8,1
"Junmin Hao",67,61,7,1
"Takafumi Akahoshi",68,50,26,1
"Hajime Hosogai",70,68,89,1
"Koki Mizuno",67,128,1,1
"Kisho Yano",67,64,2,1
"Takahito Soma",63,51,5,1
"Hulk",84,46,57,1
"Marcelo Silva",71,45,21,1
"Rafael Dias",65,62,11,1
"Rafael Santos",69,47,1,1
"Felipe Santana",74,39,78,1
"Dudu",60,125,1,1
"Michel Bastos",78,58,120,3
"Ederson Tormena",66,46,28,1
"Fagner",72,42,24,1
"Marcos Ceara",72,50,91,1
"Mike Havenaar",72,47,83,2
"Shinji Okazaki",76,42,131,2
"Robert Cullen",66,48,29,1
"Eiji Kawashima",69,345,90,2
"Akihiro Ienaga",67,57,4,1
"Michihirio Yasuda",64,45,36,1
"Erik Friberg",65,10,5,1
"Amoreirinha",65,47,17,1
"Thiago Neves",77,58,2,1
"Daniel Dunst",55,51,9,1
"Sebastian Leto",70,53,12,1
"Oscar Trejo",77,62,99,2
"Juca",71,54,12,1
"Hernanes",80,48,135,1
"Marc Bertran",69,52,84,1
"Andre Leone",71,113,8,1
"Mark Burchill",55,105,5,1
"Nikola Kalinic",78,47,51,2
"David Meul",62,315,34,1
"Alexandre Di Gregorio",59,116,8,1
"Ibrahima Conte",71,54,45,1
"Mohammed Rabiu",71,55,24,1
"Tim Matthijs",68,60,73,1
"Jop van der Linden",72,53,76,1
"Gregory Lorenzi",66,58,41,2
